2.6020 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
10.1921 	EXP 	window1: blendMode = 'avg'
10.2085 	EXP 	window1: blendMode = 'avg'
10.2252 	EXP 	window1: blendMode = 'avg'
10.2419 	EXP 	window1: blendMode = 'avg'
10.2584 	EXP 	window1: blendMode = 'avg'
10.2751 	EXP 	window1: blendMode = 'avg'
10.2917 	EXP 	window1: blendMode = 'avg'
10.3085 	EXP 	window1: blendMode = 'avg'
10.3253 	EXP 	window1: blendMode = 'avg'
10.3418 	EXP 	window1: blendMode = 'avg'
10.3586 	EXP 	window1: blendMode = 'avg'
10.3753 	EXP 	window1: blendMode = 'avg'
10.3917 	EXP 	window1: blendMode = 'avg'
10.4093 	EXP 	window1: blendMode = 'avg'
10.4263 	EXP 	window1: blendMode = 'avg'
10.4420 	EXP 	window1: blendMode = 'avg'
10.4585 	EXP 	window1: blendMode = 'avg'
10.4755 	EXP 	window1: blendMode = 'avg'
10.4921 	EXP 	window1: blendMode = 'avg'
10.5086 	EXP 	window1: blendMode = 'avg'
10.5253 	EXP 	window1: blendMode = 'avg'
10.5419 	EXP 	window1: blendMode = 'avg'
10.5586 	EXP 	window1: blendMode = 'avg'
10.5751 	EXP 	window1: blendMode = 'avg'
10.5919 	EXP 	window1: blendMode = 'avg'
10.6091 	DATA 	Keypress: space
10.6175 	EXP 	Imported demo.xls as conditions, 2 conditions, 2 params
10.6183 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
10.6194 	EXP 	New trial (rep=0, index=0): {'corrResp': 1, 'xpos': -0.25}
10.6213 	ERROR 	Couldn't find image TessImages/1.jpg; check path? (tried: C:\Users\Matt Peverill\Desktop\EF_w_financialchallenge_task\TessImages\1.jpg)
